word,gender
ro-sa-li,f
ro-sá-lia,f
ro-sa-na,f
ro-san-ge-la,f
ro-se-a-ne,f
ro-se-li,f
ro-si-cler,f
ru-bens,m
sa-bri-na,f
sa-le-te,f
sal-va-dor,m
sal-vio,m
sa-man-ta,f
sâ-mia,f
sa-mi-ra,f
sa-mu-el,m
san-dra,f
san-dro,m
sa-ra,f
se-bas-ti-ão,m
sel-ma,f
ser-gio,m
si-be-le,f
si-las,m
sil-ma-ra,f
sil-va-na,f
sil-vé-rio,m
síl-via,f
síl-vio,m
si-mo-ne,f
so-cra-tes,m
so-fia,f
so-lan-ge,f
sô-nia,f
so-ra-i-a,f
su-e-li,f
su-san,f
su-za-na,f
ta-deu,m
ta-í-na,f
ta-li-ta,f
tâ-nia,f
tar-ci-a-na,f
tar-cí-sio,m
ta-ti-a-na,f
tel-ma,f
te-o-do-ra,f
te-o-do-ro,m
te-re-za,f
ti-ci-a-na,f
ti-mó-teo,m
tor-qua-to,m
u-bal-di-no,m
u-bal-do,m
u-bi-ra-ja-ra,m
ú-lis-ses,m
um-ber-to,m
u-râ-ni-a,f
ur-ba-no,m
ur-su-la,f
ur-su-li-na,f
val-dir,m
va-len-ti-na,f
va-len-ti-no,m
va-lé-ria,f
va-les-ca,f
val-nir,m
va-nes-sa,f
vâ-nia,f
va-nu-sa,f
vas-co,m
ve-ra,f
ve-ri-di-a-na,f
ve-rô-ni-ca,f
vi-cen-te,m
vi-ni-ci-us,m
vir-gí-ni-a,f
vi-tor,m
vi-tó-ria,f
vi-vi-an,f
vi-vi-a-ne,f
wag-ner,m
wal-dir,m
wal-quí-ria,f
wan-da,f
wan-der,m
wan-der-lei-a,f
wan-do,m
wa-nes-sa,f
wel-ling-ton,m
wen-dy,f
wes-ley,m
wil-ma,f
wil-son,m
xa-qui-ra,f
xa-vi-er,m
xê-nia,f
ya-go,m
yan,m
ya-ra,f
yas-min,f
y-glé-sio,m
yo-lan-da,f
yo-ne,f
yu-ki,m
yu-ri,m
za-ca-ri-as,m
za-i-da,f
za-i-ra,f
zé-lia,f
ze-lin-da,f
zé-lio,m
ze-li-ta,f
ze-nai-de,f
ze-nir,f
zéus,m
zi-la,f
zil-da,f
zil-ma,f
zi-ral-do,m
zo-rai-de,f
zó-zi-mo,m
SA-LO-MÃO,m
JU-LI-ÃO,m
BIA,f
BI-A-NA,f
BAR-BO-SA,m
A-GA-ME-NON,m
JU-RAN-DIR,m
JO-CA,m
A-NAS-TÁ-CI-A,f
RO-MÃO,m
